episode,score,scoreMax,scoreAvg,memoryLength,epsilon,qAvg,avgLoss
  184, 2.0, 5.0, 1.6,63918,0.994,0.16,0.00
  185, 0.0, 5.0, 1.5,64183,0.994,0.16,0.00
  186, 0.0, 5.0, 1.3,64414,0.994,0.17,0.00
  187, 0.0, 5.0, 1.2,64666,0.994,0.15,0.00
  188, 0.0, 5.0, 1.1,64909,0.994,0.16,0.00
  189, 0.0, 5.0, 1.0,65161,0.993,0.15,0.00
  190, 0.0, 5.0, 0.9,65399,0.993,0.15,0.00
  191, 1.0, 5.0, 0.9,65734,0.993,0.16,0.00
  192, 1.0, 5.0, 0.9,66065,0.993,0.16,0.00
  193, 1.0, 5.0, 0.9,66398,0.993,0.16,0.00
  194, 1.0, 5.0, 0.9,66704,0.993,0.16,0.00
  195, 1.0, 5.0, 0.9,67066,0.993,0.16,0.00
  196, 2.0, 5.0, 1.0,67496,0.992,0.16,0.00
  197, 2.0, 5.0, 1.1,67900,0.992,0.16,0.00
  198, 4.0, 5.0, 1.4,68559,0.992,0.16,0.00
  199, 3.0, 5.0, 1.6,69028,0.992,0.17,0.00
  200, 0.0, 5.0, 1.4,69260,0.992,0.16,0.00
  201, 2.0, 5.0, 1.5,69693,0.992,0.16,0.00
  202, 1.0, 5.0, 1.4,69976,0.991,0.16,0.00
  203, 2.0, 5.0, 1.5,70393,0.991,0.17,0.00
  204, 1.0, 5.0, 1.4,70728,0.991,0.17,0.00
  205, 0.0, 5.0, 1.3,70983,0.991,0.17,0.00
  206, 4.0, 5.0, 1.6,71605,0.991,0.18,0.00
  207, 1.0, 5.0, 1.5,71945,0.991,0.17,0.00
  208, 6.0, 6.0, 2.0,72675,0.990,0.18,0.00
  209, 3.0, 6.0, 2.1,73178,0.990,0.19,0.00
  210, 0.0, 6.0, 1.9,73429,0.990,0.16,0.00
  211, 1.0, 6.0, 1.8,73801,0.990,0.18,0.00
  212, 0.0, 6.0, 1.6,74039,0.990,0.17,0.00
  213, 1.0, 6.0, 1.5,74396,0.990,0.18,0.00
  214, 2.0, 6.0, 1.6,74852,0.989,0.18,0.00
  215, 2.0, 6.0, 1.6,75287,0.989,0.18,0.00
  216, 0.0, 6.0, 1.5,75525,0.989,0.16,0.00
  217, 2.0, 6.0, 1.5,75911,0.989,0.18,0.00
  218, 1.0, 6.0, 1.5,76240,0.989,0.16,0.00
  219, 3.0, 6.0, 1.6,76805,0.989,0.18,0.00
  220, 2.0, 6.0, 1.7,77302,0.988,0.18,0.00
  221, 3.0, 6.0, 1.8,77857,0.988,0.18,0.00
  222, 0.0, 6.0, 1.6,78091,0.988,0.16,0.00
  223, 0.0, 6.0, 1.4,78334,0.988,0.17,0.00
  224, 0.0, 6.0, 1.3,78613,0.988,0.16,0.00
  225, 1.0, 6.0, 1.3,78919,0.988,0.17,0.00
  226, 1.0, 6.0, 1.2,79295,0.987,0.17,0.00
  227, 1.0, 6.0, 1.2,79631,0.987,0.16,0.00
  228, 1.0, 6.0, 1.2,79956,0.987,0.17,0.00
  229, 1.0, 6.0, 1.2,80292,0.987,0.17,0.00
  230, 0.0, 6.0, 1.1,80522,0.987,0.15,0.00
  231, 1.0, 6.0, 1.1,80884,0.987,0.17,0.00
  232, 3.0, 6.0, 1.2,81415,0.987,0.18,0.00
  233, 0.0, 6.0, 1.1,81637,0.986,0.17,0.00
  234, 1.0, 6.0, 1.1,82000,0.986,0.16,0.00
  235, 0.0, 6.0, 1.0,82257,0.986,0.16,0.00
  236, 1.0, 6.0, 1.0,82638,0.986,0.17,0.00
  237, 3.0, 6.0, 1.2,83084,0.986,0.19,0.00
  238, 1.0, 6.0, 1.2,83435,0.986,0.17,0.00
  239, 1.0, 6.0, 1.2,83740,0.986,0.17,0.00
  240, 2.0, 6.0, 1.2,84169,0.985,0.18,0.00
  241, 0.0, 6.0, 1.1,84413,0.985,0.16,0.00
  242, 0.0, 6.0, 1.0,84629,0.985,0.16,0.00
  243, 2.0, 6.0, 1.1,85068,0.985,0.18,0.00
  244, 4.0, 6.0, 1.4,85670,0.985,0.17,0.00
  245, 1.0, 6.0, 1.4,85964,0.985,0.18,0.00
  246, 0.0, 6.0, 1.2,86247,0.985,0.15,0.00
  247, 2.0, 6.0, 1.3,86668,0.984,0.17,0.00
  248, 0.0, 6.0, 1.2,86947,0.984,0.16,0.00
  249, 0.0, 6.0, 1.1,87196,0.984,0.16,0.00
  250, 0.0, 6.0, 0.9,87445,0.984,0.16,0.00
  251, 0.0, 6.0, 0.9,87688,0.984,0.16,0.00
  252, 0.0, 6.0, 0.8,87963,0.984,0.16,0.00
  253, 1.0, 6.0, 0.8,88318,0.984,0.18,0.00
  254, 0.0, 6.0, 0.7,88581,0.984,0.16,0.00
  255, 0.0, 6.0, 0.6,88844,0.983,0.16,0.00
  256, 1.0, 6.0, 0.7,89155,0.983,0.19,0.00
  257, 0.0, 6.0, 0.6,89431,0.983,0.17,0.00
  258, 0.0, 6.0, 0.5,89705,0.983,0.17,0.00
  259, 0.0, 6.0, 0.5,89925,0.983,0.17,0.00
  260, 0.0, 6.0, 0.4,90149,0.983,0.18,0.00
  261, 0.0, 6.0, 0.4,90387,0.983,0.16,0.00
  262, 0.0, 6.0, 0.4,90635,0.983,0.18,0.00
  263, 1.0, 6.0, 0.4,90987,0.982,0.19,0.00
  264, 1.0, 6.0, 0.5,91343,0.982,0.19,0.00
  265, 2.0, 6.0, 0.6,91745,0.982,0.22,0.00
  266, 0.0, 6.0, 0.6,91987,0.982,0.17,0.00
  267, 0.0, 6.0, 0.5,92223,0.982,0.17,0.00
  268, 3.0, 6.0, 0.8,92757,0.982,0.23,0.00
  269, 3.0, 6.0, 1.0,93233,0.982,0.23,0.00
  270, 3.0, 6.0, 1.2,93758,0.981,0.22,0.00
  271, 3.0, 6.0, 1.4,94278,0.981,0.23,0.00
  272, 0.0, 6.0, 1.2,94508,0.981,0.17,0.00
  273, 1.0, 6.0, 1.2,94843,0.981,0.21,0.00
  274, 0.0, 6.0, 1.1,95100,0.981,0.17,0.00
